"country","subregion","region","smartphone_adoption","happiness","literacy","discrimination_index","homicide_rate","education","income","gini","suicide_rate","gun_deaths","internet_speed","population","gender_equality","social_progress","human_needs","well_being","opportunity","life_expectancy","terrorism_score","peace_index","satisfaction","web_index"
"108","Burkina Faso","Western Africa","Africa",NA,NA,36,5.3,8,0.25,NA,"39.8",4.8,NA,NA,18450494,0.65,48.82,46.56,57.79,42.11,58,0.31,1.994,156.67,13.72
"109","Burundi","Eastern Africa","Africa",NA,NA,85.6,NA,8,0.37,NA,"33.3",23.1,NA,NA,9823827,0.7565,NA,NA,46.63,32.2,56,3.34,2.323,100,NA
"110","Cabo Verde",NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA
"111","Cambodia","South-Eastern Asia","Asia",NA,NA,77.1,NA,6.5,0.495,NA,"37.9",9.4,NA,NA,15405157,0.652,53.96,53.86,67.52,40.52,72,0.15,2.179,186.67,NA
"112","Cameroon","Middle Africa","Africa",NA,NA,74.9,NA,7.6,0.486,NA,"38.9",7,NA,NA,23344000,NA,47.42,48.48,58.15,35.61,56,6.47,2.349,170,9.71
"113","Central African Republic","Middle Africa","Africa",NA,NA,36.7,NA,11.8,0.318,NA,"56.3",9.5,NA,NA,4900000,NA,31.42,26.81,44.84,22.62,51,6.72,3.332,163.33,NA
"114","Chad","Middle Africa","Africa",NA,NA,40.1,NA,7.3,0.256,NA,"39.8",4.7,NA,NA,14037000,0.5764,33.17,28.09,44.12,27.3,51,2.14,2.429,150,NA
"115","Comoros","Eastern Africa","Africa",NA,NA,77.7,5.3,10,0.45,NA,"64.3",16.9,NA,NA,784745,NA,NA,NA,55.01,42.51,62,NA,NA,196.67,NA
"116","Congo","Middle Africa","Africa",NA,NA,79.3,NA,12.5,0.511,NA,"47.3",9.6,NA,NA,NA,NA,49.6,40.67,66.56,41.58,59,0.82,NA,NA,NA
"117","Congo, Democratic Republic of the",NA,NA,NA,NA,77.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Côte d'Ivoire",NA,NA,NA,NA,43.1,NA,NA,NA,NA,"41.5",NA,NA,NA,NA,0.5874,NA,47.09,NA,31.58,NA,NA,NA,150,NA
"119","Cuba","Caribbean","Americas",NA,NA,99.7,4.8,4.2,0.743,NA,"",11.4,NA,NA,11238317,0.7317,60.83,80.08,60.51,41.9,79,0,1.988,210,NA
"120","Djibouti","Eastern Africa","Africa",NA,NA,NA,NA,10.1,0.306,NA,"40.0",15.1,NA,NA,888000,NA,47.27,64.18,44.02,33.62,61,2.57,2.113,160,NA
"121","Dominica","Caribbean","Americas",NA,NA,NA,NA,21.1,0.607,NA,NA,NA,NA,NA,71293,NA,NA,NA,NA,NA,75,NA,NA,243.33,NA
"122","Dominican Republic","Caribbean","Americas",NA,NA,91.7,NA,22.1,0.59,NA,"45.7",4.1,NA,NA,10528000,0.6906,62.47,64.8,71.95,50.65,77,2.58,2.089,233.33,NA
"123","Egypt","Northern Africa","Africa",NA,NA,75.2,NA,3.4,0.573,NA,"30.8",1.7,NA,NA,90032000,0.6064,59.91,77.69,67.59,34.47,71,6.81,2.382,160,28.98
"124","El Salvador","Central America","Americas",NA,NA,88.3,5.7,41.2,0.553,NA,"41.8",13.6,26.84,NA,6401240,0.6863,64.31,68.38,68.81,55.75,72,0,2.263,220,NA
"125","Equatorial Guinea","Middle Africa","Africa",NA,NA,95.2,NA,19.3,0.415,NA,"",16.6,NA,NA,1222442,NA,NA,NA,NA,NA,55,0,1.987,173.33,NA
"126","Eritrea","Eastern Africa","Africa",NA,NA,73.7,NA,7.1,0.228,NA,NA,16.3,NA,NA,5228000,NA,NA,NA,NA,NA,63,1.64,2.309,146.67,NA
"127","Ethiopia","Eastern Africa","Africa",NA,NA,49,NA,12,0.317,NA,"29.8",11.5,NA,NA,90076012,0.6144,41.04,44.04,50.49,28.59,64,3.55,2.234,156.67,0
"128","Fiji","Melanesia","Oceania",NA,NA,NA,NA,4,0.767,NA,"42.8",7.3,NA,NA,867000,0.6286,NA,NA,NA,NA,69,NA,NA,223.33,NA
"129","Gabon","Middle Africa","Africa",NA,NA,83.1,3.3,9.1,0.589,NA,"41.5",8.2,NA,NA,1802278,NA,NA,61.91,NA,48.07,63,0,1.904,206.67,NA
"130","Gambia","Western Africa","Africa",NA,NA,55.5,3.7,10.2,0.346,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,61,0,2.086,NA,NA
"131","Georgia","Western Asia","Asia",NA,NA,99.7,NA,4.3,0.77,NA,"41.3",3.2,1.98,NA,3729500,0.6855,65.89,80.15,69.61,47.92,74,2.37,1.973,136.67,NA
"132","Ghana","Western Africa","Africa",NA,NA,76.5,4.9,6.1,0.553,NA,"42.8",3.1,NA,NA,27043093,0.6661,58.29,55.5,68.43,50.93,62,1.38,1.84,206.67,29.87
"133","Grenada","Caribbean","Americas",NA,NA,NA,3.9,13.3,0.724,NA,NA,NA,NA,NA,103328,NA,NA,NA,NA,NA,73,NA,NA,216.67,NA
"134","Guinea","Western Africa","Africa",NA,NA,30.4,NA,8.9,0.294,NA,"39.4",4.7,NA,NA,12609000,NA,39.6,40,51.2,27.59,58,1.19,2.214,170,NA
"135","Guinea-Bissau","Western Africa","Africa",NA,NA,59.9,5.7,8.4,0.325,NA,"35.5",4.7,NA,NA,1530673,NA,NA,NA,NA,NA,54,0.15,2.235,180,NA
